frame_id,datetime_utc,camera_unit,sharpness_survey,scene1_time_s,frame_ready,notes,video_path
CAMHDA301-20210905T211500,2021-09-05T21:15:00,CAMHDA301-2021,371.6,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/09/05/CAMHDA301-20210905T211500.mp4
CAMHDA301-20210910T174500,2021-09-10T17:45:00,CAMHDA301-2021,124.2,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/09/10/CAMHDA301-20210910T174500.mp4
CAMHDA301-20210915T211500,2021-09-15T21:15:00,CAMHDA301-2021,409.3,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/09/15/CAMHDA301-20210915T211500.mp4
CAMHDA301-20210920T051500,2021-09-20T05:15:00,CAMHDA301-2021,145.7,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/09/20/CAMHDA301-20210920T051500.mp4
CAMHDA301-20211001T153000,2021-10-01T15:30:00,CAMHDA301-2021,549.2,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/10/01/CAMHDA301-20211001T153000.mp4
CAMHDA301-20211010T081500,2021-10-10T08:15:00,CAMHDA301-2021,14.2,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/10/10/CAMHDA301-20211010T081500.mp4
CAMHDA301-20211015T211500,2021-10-15T21:15:00,CAMHDA301-2021,311.3,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/10/15/CAMHDA301-20211015T211500.mp4
CAMHDA301-20211022T061500,2021-10-22T06:15:00,CAMHDA301-2021,247.7,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/10/22/CAMHDA301-20211022T061500.mp4
CAMHDA301-20211101T034500,2021-11-01T03:45:00,CAMHDA301-2021,682.3,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/11/01/CAMHDA301-20211101T034500.mp4
CAMHDA301-20211108T001500,2021-11-08T00:15:00,CAMHDA301-2021,169.2,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/11/08/CAMHDA301-20211108T001500.mp4
